id;name_cl;logo;path_logs;type
1;reciprocal withdrawal;synthesize compressing;multi-byte Administrator;paradigm
2;foreground XSS engage;Integration e-markets;Handcrafted iterate PNG;Account
3;vortals;Jewelery Internal;Licensed;uniform content
4;Corporate Wooden;Metal Wooden back-end;Avon online;index
5;transitional Multi-layered Hryvnia;orange;hub encoding Cape;Division Corporate
6;payment;Wisconsin neural;migration Plastic Small;Automotive Fantastic Ball
7;Pants;Market Gorgeous;back-end Cambridgeshire Cotton;wireless COM Licensed
8;Supervisor Account Branding;Checking;feed;Central cutting-edge Account
9;copying viral bandwidth;invoice cohesive;Maine generating;Delaware Sausages
10;index;e-business Loan;Shoes;hack synthesize alarm
